Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count,Unnamed: 0,LSOA
City of London,Liverpool Street Station (Stop E),Bus Station,51.51813099999999,-0.0827109999999999,3.8,0.4879828790823619,0.2222222222222222,0.5555555555555556,0.2222222222222222,"Traffic, Atmosphere","busy (15), noisy (3)",6,,E01032739
City of London,Finsbury Square (Stop D),Bus Station,51.52127249999999,-0.0872285,4.5,0.5663258284330368,0.5,0.0,0.5,"Comfort, Accessibility, General","busy (9), fantastic (9), comfortable (9), great (9), near (3), walking (3), lovely (3)",2,,E01002704
City of London,Monument (Stop P),Bus Station,51.509502,-0.087002,3.6,0.426177171866099,0.7333333333333333,0.0666666666666666,0.2,"Traffic, Atmosphere","busy (16), messy (5)",8,,E01032739
City of London,Liverpool Street Station (Stop K),Bus Station,51.5172987,-0.080534,3.5,0.6559168696403503,0.0,0.0,1.0,,safe (3),4,,E01032739
City of London,Liverpool Street Station (Stop F),Bus Station,51.517505,-0.0805992,4.3,0.4900379200776418,0.1333333333333333,0.6666666666666666,0.2,"Accessibility, Atmosphere, Maintenance, Traffic, General","good (18), busy (18), accessible (9), lively (9), old (9), new (9), safe (6)",18,,E01032739
City of London,Epworth Street (Stop E),Bus Station,51.5225674,-0.0870254999999999,3.5,0.4232187519470851,0.5,0.5,0.0,,"busy (7), tidy (3)",2,,E01002704
City of London,Great Tower Street (Stop TT),Bus Station,51.50995640000001,-0.0815053,1.0,0.4072261452674866,0.6666666666666666,0.3333333333333333,0.0,,"busy (3), tidy (3)",1,,E01032739
City of London,Blackfriars,Subway Station,51.5114726,-0.1031251,4.4,0.5191072603066762,0.1333333333333333,0.7333333333333333,0.1333333333333333,"Accessibility, Cleanliness, Atmosphere, Maintenance, Traffic, General","clean (18), easy (9), neat (9), modern (9), good (9), busy (9), lovely (3), walking (3), safe (3)",153,,E01032739
City of London,London Bridge,Subway Station,51.50586239999999,-0.0869692,4.3,0.5419416427612305,0.1333333333333333,0.6,0.2666666666666666,"Accessibility, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","good (27), clean (21), busy (18), safe (15), maintained (9), pretty (9), tidy (9), walking (6), crowded (3), old (3)",404,,E01004027
City of London,Aldgate,Subway Station,51.5141643,-0.0755189,4.1,0.5249335964520773,0.0,0.8,0.2,"Accessibility, Safety, Cleanliness, Atmosphere, Maintenance, Traffic","busy (28), clean (27), tidy (21), convenient (18), safe (12), noisy (12), walking (9), old (9), pedestrian (9), dangerous (9)",171,,E01000005
City of London,Old Street,Transit Station,51.5256641,-0.08753,3.9,0.6539386411507925,0.0,0.6,0.4,"Accessibility, Safety, Noise, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","old (45), new (30), great (18), tidy (18), pedestrian (18), safe (15), clean (12), lighting (9), dirty (9), easy (9), improved (9), pretty (9), quiet (9), lovely (9), fantastic (9), modern (9), traffic (9), messy (6), neat (3), near (3)",413,,E01002704
City of London,Tower Hill,Subway Station,51.5101178,-0.0766608999999999,4.4,0.544345768292745,0.0,0.6666666666666666,0.3333333333333333,"Accessibility, Atmosphere, Maintenance, Traffic, General","amazing (9), old (9), busy (9), far (9), walking (9), good (3), tidy (3), noisy (3), safe (3)",346,,E01004293
City of London,Chancery Lane,Subway Station,51.5182067,-0.1114984,4.0,0.5115602791309357,0.2,0.6,0.2,"Accessibility, Noise, Cleanliness, Atmosphere, Traffic, General","tidy (18), busy (18), clean (12), safe (12), central (9), quiet (9), good (9), noisy (3), dark (3), dead (3)",101,,E01000914
City of London,Aldgate East,Subway Station,51.5153166,-0.0718178,4.0,0.4823763529459635,0.0,1.0,0.0,"Maintenance, Cleanliness, Atmosphere, Traffic","old (27), noisy (18), safe (15), tidy (12), busy (9), clean (9), parking (9)",179,,E01004309
City of London,Southwark,Subway Station,51.50392600000001,-0.1049685,4.3,0.6169082065423329,0.0,0.2666666666666666,0.7333333333333333,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Traffic, Aesthetics","modern (45), clean (18), busy (9), far (9), accessible (9), beautiful (9), quiet (9), crowded (9), spacious (9), renovated (9), near (6), walking (3), safe (3), ugly (3)",181,,E01032583
City of London,Borough,Subway Station,51.5012449,-0.0936138,4.3,0.6111177583535512,0.0666666666666666,0.3333333333333333,0.6,"Maintenance, Aesthetics, Accessibility, General","awful (18), great (18), messy (15), good (12), safe (9), convenient (9), tidy (9), poor (9), noisy (3), lighting (3), lovely (3), busy (3)",124,,E01003929
City of London,Temple,Subway Station,51.51099980000001,-0.1142932,4.2,0.5058581829071045,0.2,0.6666666666666666,0.1333333333333333,"Maintenance, Aesthetics, Accessibility, General","old (27), safe (18), lovely (9), beautiful (9), great (9), bad (9), easy (9), dark (3), dead (3), near (3), busy (3), noisy (3), walking (3)",115,,E01004735
City of London,Holborn,Subway Station,51.51742770000001,-0.1199958,3.9,0.6469492475191753,0.0,0.6,0.4,"Accessibility, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics","safe (9), bustling (9), messy (9), clean (9), tidy (9), cramped (9), central (9), near (6), crowded (3), walking (3), old (3)",359,,E01000914
City of London,Liverpool Street,Transit Station,51.51743310000001,-0.0829667,4.3,0.6275208274523417,0.0,0.4,0.6,"Cleanliness, Atmosphere, Maintenance, Traffic, General","busy (21), good (18), walking (12), old (9), new (9), modern (9), dirty (9), tidy (9), safe (6), clean (3), muddy (3)",410,,E01032739
City of London,Spitalfields Arts Market,Shopping Mall,51.5193763,-0.0761288,4.4,0.7130660057067871,0.0,0.2,0.8,"Maintenance, Traffic, Aesthetics, General","great (36), old (27), lovely (12), walking (12), safe (12)",978,,E01004307
City of London,BILLIONEARN LTD,Shopping Mall,51.5130167,-0.0943522,4.0,0.0,0.0,0.0,0.0,,,1,,E01032739
