LSOA_CODE,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,StreetLen_m,RailLen_m,StationCount,MinStationDist_m,LU_allotments_prop,LU_cemetery_prop,LU_commercial_prop,LU_farm_prop,LU_forest_prop,LU_grass_prop,LU_heath_prop,LU_industrial_prop,LU_meadow_prop,LU_military_prop,LU_nature_reserve_prop,LU_orchard_prop,LU_park_prop,LU_quarry_prop,LU_recreation_ground_prop,LU_residential_prop,LU_retail_prop,LU_scrub_prop
E01000017,Unknown,2,14.37756828391494,5.331629919957239,1586.0,E01000017,0.457,0.009,13.0,2327.0392692596056,892.4356262580193,2.0,99.65376954190364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.0,0.0
E01000018,Unknown,2,15.05395122367829,3.602766676448856,1524.0,E01000018,0.5704855922148315,0.135,804.8,2131.439569865524,1744.2003566155647,3.8,301.57240700662953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125370532944655e-05,0.0,0.0,0.9999016153311256,0.0,0.0
E01000019,Unknown,1b,7.142540108039254,2.530744557180827,1486.0,E01000019,0.599,0.09459999999999999,19.0,2429.364668532674,999.9073045236369,2.0,186.94060426892952,0.0,0.0,0.0010226059173187513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01037792949033559,0.0,0.0,0.8361602378453796,0.0007616946370460996,0.0
E01000020,Unknown,2,11.127029765524666,4.014543957531831,1610.0,E01000020,0.5428900986235631,0.08220000000000001,100.8,2792.567777152788,1629.4423456383133,7.0,181.79808737662503,0.0,0.0,0.0004561434192155871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011024622768281244,0.0,0.0,0.8936205237497394,0.00012558792415410866,0.0
E01000021,Unknown,2,10.486214033569976,1.917594494273668,1547.0,E01000021,0.0,0.1014,1.0,2270.1066765317923,999.9073045236369,4.0,74.62875592010587,0.0,0.0,0.0013785428500154616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026560443679716404,0.0,0.0002615702555938473,0.9060693795704948,0.022519285281323555,0.0
E01000022,Unknown,2,8.595162079656392,6.870913601127021,1424.0,E01000022,0.4373542291972239,0.1086,14.4,2260.255804644952,1629.4423456383133,4.2,252.65685299928276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690907592106585,0.0,0.0
E01000023,Unknown,2,9.607837580997863,3.134782530090211,1281.0,E01000023,0.48605841141943795,0.11560000000000001,88.6,1454.3335498050747,1629.4423456383133,3.0,145.66898152342358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03650838724600036,0.0,0.0,0.7718525970266903,0.0062053603010175035,0.0
E01000024,Unknown,2,11.566710538861347,6.713805911123405,1358.0,E01000024,0.4947201061767128,0.13640000000000002,72.2,2046.3114023984954,1629.4423456383133,2.0,123.12492512406976,0.0029258619398303196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999474850116256,0.0,0.0
E01000025,Unknown,2,8.922120456643405,5.690973118466576,1611.0,E01000025,0.5184051237869981,0.13640000000000002,573.6,1846.3161607025984,1629.4423456383133,1.0,209.91469718693904,0.01285542612241411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899372716933211,0.0,0.0
E01000027,Unknown,1b,6.529667130277945,0.0,1595.0,E01000027,0.509,0.287,32.0,5434.042217979029,1629.4423456383133,12.0,11.28868821382092,0.00011682890607340545,0.0297632366213434,0.0,0.4870542627389896,0.009003469326982164,0.0010404690301929153,0.0,0.07650641164455264,0.0,0.0,0.0,0.0,0.0,0.037783377491267485,0.0,0.12356705038618311,0.0,0.15125114218591096
E01000028,Unknown,1b,5.005696233949032,2.877796648514338,1472.0,E01000028,0.71,0.1708,4.0,1307.6796950862035,1629.4423456383133,4.8,251.94280659490823,0.0,0.0,0.0,0.0,0.0,0.03726360399103144,0.0,0.0,0.0013919210549442787,0.0,0.0,0.0,0.0,0.0,0.0,0.9308310093685496,0.0,0.0
E01000029,Unknown,1b,6.189541346432995,0.0,1660.0,E01000029,0.6753174527797432,0.1622,176.8,3690.748725426734,1629.4423456383133,3.0,104.81788749006303,0.0,0.0,0.0,0.0,0.0,0.11281248036338239,0.0,0.0,0.0,0.0,0.0,0.0,0.0025300347886287734,0.0,0.0,0.8122934385701278,0.0,0.0
E01000030,Unknown,2,7.138544598557065,3.887422051827322,1579.0,E01000030,0.827,0.16260000000000002,8.0,3665.7142222590774,1629.4423456383133,5.0,118.49375749510318,0.024563774463568576,7.015202011890595e-05,0.0,0.0,0.0,0.09977698262951414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054534306355047635,0.6461562214698141,0.0,0.0
E01000031,Unknown,1b,7.841111454391048,0.0,1469.0,E01000031,0.586,0.219,18.0,3504.9456330184616,2071.7673698130725,5.0,275.6951989022741,0.03973542201354141,0.0,0.0,0.11470951346923002,0.0,0.0005813491856507757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12130785978954245,0.0,0.20224350155458107,0.00909867693163479,0.3845569378482344
E01000032,Unknown,2,14.592873850227182,0.0,1545.0,E01000032,0.64,0.11140000000000001,835.0,2432.130623013906,1512.5785238055068,1.0,338.01560833609864,0.014358901816405225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678017403415708,0.0,0.0,0.46877756758791256,0.11998013722690941,0.0
E01000033,Unknown,1b,6.16436795352804,2.798631607796497,1229.0,E01000033,0.5666154842732876,0.2152,418.8,1804.8183276989585,1629.4423456383133,1.0,208.84541848558976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002627545612060412,0.0,0.0,0.8976341255568324,0.0,0.0
E01000034,Unknown,1b,8.535276157886644,2.301591175110856,1489.0,E01000034,0.718,0.183,319.0,2763.5800367543493,984.3173749910343,6.0,252.08663968802972,0.0,0.0,0.0,0.0,0.006408031159956608,0.0019930495793000136,0.0,0.11385318579165883,0.0,0.0,0.0,0.0,0.48222339047932317,0.0,0.014985446285707632,0.3418501127706956,0.0,0.0
E01000035,Unknown,2,12.9275045966771,2.414207266266152,1398.0,E01000035,0.503,0.296,44.0,2260.306124057919,1871.5104182759808,8.0,114.4079472856423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054916562120454,0.0,0.0,0.0,0.0,0.0,0.0,0.13236801187249203,0.4358464721427022,0.006235214539450646,0.0
E01000036,Unknown,2,14.320383911726983,0.0,1348.0,E01000036,0.661,0.175,849.0,2709.794194980256,2758.7034615609277,2.0,204.71162611507904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532143214365568,0.0,0.0,0.0,0.0,0.014622137030029288,0.0,0.0,0.3097827203614372,0.0,0.0
E01000046,Unknown,2,9.098002953484157,4.133467913776144,1582.0,E01000046,0.459,0.2198,10.0,1697.7841051294777,2232.2151110885334,2.0,211.15703114142516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E01000048,Unknown,2,28.327696819149452,5.643013109921634,1598.0,E01000048,0.6237936863612996,0.18780000000000002,201.6,391.9302328966259,1085.1040264827084,2.0,154.15632558142747,0.0,0.0,0.0,0.0,0.0,0.12340051373081398,0.0,0.0,0.0,0.0,0.0,0.0,0.018203407055001057,0.0,0.0,0.9604603506746662,0.0,0.0
E01000049,Unknown,2,12.003633690154771,3.634832977786611,1567.0,E01000049,0.622,0.091,884.0,1842.3981479162167,4741.329714076026,3.0,80.09620544565713,0.0,0.0,0.0,0.0,0.0,0.020531149165583035,0.0,0.19967898093827985,0.0,0.0,0.0,0.0,0.2017238692251446,0.0,0.0,0.4936194270021356,0.0,0.0
E01000050,Unknown,6a,33.53385655194017,9.515273414352748,1529.0,E01000050,0.615,0.18780000000000002,38.0,2303.4714865107094,1085.1040264827084,2.0,35.882896406553066,0.0,0.0,0.0,0.0,0.0,0.0025327101442050985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.807259905224176,0.0,0.0
E01000051,Unknown,6a,36.01264052894425,9.311023548184204,1568.0,E01000051,0.769,0.039,60.0,527.5234777355101,1120.731443355201,2.0,79.06430742133007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04516078162874171,0.0,0.0,0.8968060232646751,0.0,0.0
E01000052,Unknown,3,26.420866644093895,2.316300090409892,1708.0,E01000052,0.569818789697843,0.1186,275.4,3293.419169509583,2846.848885846522,3.0,116.8298800897626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207107264825086,0.0,0.0,0.7489134052891344,0.0,0.0
E01000053,Unknown,2,15.165211374076655,0.0,1414.0,E01000053,0.338,0.478,129.0,1924.7796104733359,11729.116633009135,3.0,183.06465629150085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03641975765927714,0.0,0.0,0.8878846272884844,0.014115931264147499,0.0
E01000054,Unknown,2,9.531854135165066,0.0,1573.0,E01000054,0.625,0.28300000000000003,23.0,2225.5757244606825,7744.901934642979,3.6,290.94331070739355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04247190569247513,0.0,0.0,1.000000000000002,0.0,0.0
E01000055,Unknown,2,10.259916578730984,4.380005425591905,1515.0,E01000055,0.46191647644022604,0.2138,179.0,1593.7966888501835,9362.026453914295,3.4,319.40483299024794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343560031223052,0.0,0.0,1.0000000000000016,0.0,0.0
E01000056,Unknown,1a,6.350872429924064,0.0,1437.0,E01000056,0.582,0.033,798.0,1923.6607566122073,21476.852078463726,3.0,355.9884116270443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22001110648424685,0.0,0.0,0.7536883946423885,0.0,0.0
E01000057,Unknown,3,12.546962830767397,8.166134699217515,1374.0,E01000057,0.347,0.349,31.0,2118.280969493834,413.83927775880034,4.0,96.75404879112133,0.12488518518949411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008207285378824017,0.0,0.0,0.9757352004670811,0.014082157042974464,0.0
E01000058,Unknown,2,9.418131379189052,2.40460698272614,1528.0,E01000058,0.233,0.323,33.0,1709.1300462022339,1344.0144477064123,4.0,111.49561476872586,0.04889295745513929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013334166837031043,0.0,0.0,0.8952227409456371,0.0,0.0
E01000059,Unknown,2,11.276159929689372,0.0,1586.0,E01000059,0.626,0.2972,539.0,2427.355383772731,1131.1465547813857,3.0,389.78138725832844,0.0028624386657166373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26794129091567204,0.0,0.0,0.7339468377073439,0.0,0.0
