LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000393,0.569,2,0.117,Negative,3.9,1037
E01000394,0.712,2,0.079,Positive,4.2,16
E01000399,0.663,1,,Positive,4.8,10
E01000400,0.602,1,,Positive,4.6,15
E01000402,0.602,1,,Positive,3.7,18
E01000403,0.66,5,0.111,Neutral,4.2,2740
E01000407,0.46,3,0.4,Positive,3.467,154
E01000408,0.526,2,0.027,Neutral,4.55,333
E01000410,0.763,2,0.021,Very Positive,3.9,59
E01000414,0.547,2,0.039,Neutral,4.9,21
E01000416,0.572,2,0.03,Neutral,3.95,239
E01000417,0.732,2,0.03,Very Positive,4.65,249
E01000418,0.548,2,0.186,Negative,4.35,58
E01000424,0.585,1,,Neutral,4.0,23
E01000428,0.367,2,0.52,Very Negative,3.35,388
E01000432,0.7,2,0.141,Neutral,3.25,149
E01000436,0.683,1,,Positive,4.4,8
E01000439,0.612,2,0.187,Negative,4.6,51
E01000441,0.53,1,,Neutral,4.4,15
E01000442,0.338,1,,Very Negative,3.0,2
E01000443,0.647,3,0.221,Very Positive,4.3,16
E01000444,0.591,2,0.144,Negative,4.4,14
E01000445,0.436,1,,Negative,4.0,9
E01000447,0.555,5,0.159,Very Positive,4.64,24
E01000448,0.649,1,,Positive,4.6,14
E01000449,0.64,3,0.08,Neutral,4.4,108
E01000453,0.698,1,,Positive,4.2,136
E01000454,0.717,2,0.157,Positive,4.75,230
E01000457,0.66,2,0.175,Neutral,4.35,77
E01000458,0.721,1,,Very Positive,4.6,20
E01000459,0.795,1,,Very Positive,1.4,82
E01000460,0.713,1,,Very Positive,4.6,32
E01000462,0.627,4,0.067,Neutral,4.025,395
E01000466,0.673,3,0.099,Neutral,4.667,1008
E01000467,0.617,2,0.072,Neutral,4.35,121
E01000470,0.471,4,0.318,Positive,4.325,341
E01000472,0.813,1,,Very Positive,5.0,1
E01000473,0.619,6,0.09,Positive,4.15,918
E01000474,0.719,1,,Very Positive,4.8,8
E01000475,0.638,2,0.09,Neutral,4.6,9
E01000478,0.755,1,,Very Positive,4.8,9
E01000480,0.0,1,,Very Negative,5.0,1
E01000481,0.265,2,0.375,Neutral,4.75,11
E01000482,0.469,8,0.313,Neutral,4.525,810
E01000483,0.629,2,0.029,Positive,3.8,10
E01000486,0.699,2,0.127,Positive,4.65,19
E01000487,0.672,2,0.06,Positive,4.85,50
E01000489,0.654,1,,Positive,3.0,219
E01000502,0.623,1,,Positive,4.4,27
E01000503,0.723,1,,Very Positive,4.6,3679
E01000506,0.81,2,0.063,Very Positive,4.3,212
E01000507,0.759,2,0.092,Positive,4.15,63
E01000508,0.623,1,,Positive,4.8,395
E01000516,0.574,1,,Neutral,2.1,52
E01000517,0.709,2,0.173,Neutral,3.45,37
E01000519,0.59,2,0.103,Neutral,4.7,1433
E01000520,0.704,1,,Very Positive,4.7,139
E01000521,0.653,1,,Positive,4.6,49
E01000522,0.524,1,,Neutral,4.7,3
E01000523,0.647,1,,Positive,3.6,47
E01000524,0.751,2,0.185,Positive,3.15,61
E01000528,0.742,1,,Very Positive,4.5,14
E01000532,0.738,1,,Very Positive,4.7,17
E01000536,0.793,1,,Very Positive,3.1,154
E01000538,0.744,2,0.06,Very Positive,4.0,886
E01000539,0.603,1,,Positive,4.2,50
E01000540,0.785,1,,Very Positive,3.8,13
E01000541,0.721,2,0.123,Positive,4.55,30
E01000543,0.672,1,,Positive,4.0,218
E01000545,0.553,2,0.032,Neutral,4.6,83
E01000554,0.785,1,,Very Positive,4.5,43
E01000559,0.0,1,,Very Negative,5.0,1
E01000564,0.344,3,0.302,Negative,4.333,6
E01000568,0.453,14,0.273,Positive,3.85,2837
E01000569,0.567,1,,Neutral,4.3,28
E01000571,0.714,2,0.114,Positive,4.7,1821
E01000573,0.689,1,,Positive,4.4,364
E01000574,0.549,1,,Neutral,3.2,10
E01000575,0.387,5,0.361,Very Negative,4.04,145
E01000576,0.616,5,0.136,Positive,4.26,90
E01000577,0.758,3,0.104,Very Positive,4.567,338
E01000578,0.724,3,0.074,Very Positive,4.533,1405
E01000580,0.293,2,0.414,Neutral,4.65,65
E01000589,0.572,1,,Neutral,4.3,182
E01000591,0.778,2,0.086,Very Positive,3.75,195
E01000594,0.554,2,0.058,Neutral,3.9,76
E01000596,0.74,1,,Very Positive,4.8,6123
E01000600,0.529,8,0.235,Negative,3.875,938
E01000601,0.454,3,0.394,Positive,4.4,155
E01000604,0.623,1,,Positive,5.0,13
E01000608,0.399,3,0.346,Neutral,4.867,57
E01000610,0.5,2,0.089,Negative,4.55,1904
E01000612,0.539,2,0.012,Neutral,4.35,83
E01000613,0.497,1,,Negative,3.7,69
E01000615,0.502,9,0.302,Positive,3.522,3384
E01000616,0.76,3,0.089,Very Positive,4.133,120
E01000617,0.583,3,0.208,Negative,4.0,47
E01000618,0.717,1,,Very Positive,4.8,8
E01000619,0.667,1,,Positive,4.1,117
E01000620,0.622,4,0.087,Neutral,3.6,130
E01000621,0.686,1,,Positive,3.6,10
E01000622,0.709,1,,Very Positive,5.0,5
E01000625,0.629,1,,Positive,4.6,21
E01000628,0.51,1,,Neutral,3.5,63
E01000630,0.582,4,0.249,Very Positive,4.5,4186
E01000631,0.718,4,0.062,Positive,3.825,1485
E01000632,0.586,2,0.145,Negative,4.2,597
E01000633,0.559,9,0.25,Neutral,3.989,269
E01000635,0.649,6,0.16,Negative,3.65,171
E01000636,0.38,2,0.538,Very Negative,4.7,201
E01000638,0.702,2,0.036,Positive,4.2,32
E01000640,0.0,1,,Very Negative,5.0,2
E01000642,0.611,1,,Positive,4.2,121
E01000643,0.588,5,0.062,Neutral,3.96,3010
E01000644,0.641,4,0.071,Positive,4.4,259
E01000646,0.399,1,,Very Negative,5.0,1
E01000647,0.711,4,0.08,Very Positive,4.3,105
E01000649,0.676,2,0.02,Positive,4.85,30
