Station,latitude,longitude,address
Elephant & Castle,51.4948884,-0.1005731,"Elephant & Castle, Elephant and Castle, London Borough of Southwark, Greater London, England, SE1 6BN, United Kingdom"
Elm Park,51.549579,0.1974303,"Elm Park, The Broadway, Elm Park, London Borough of Havering, Greater London, England, RM12 4RW, United Kingdom"
Elverson Road,51.4685232,-0.0162072,"Elverson Road, Waterlink Way, Deptford, London Borough of Lewisham, Greater London, England, SE8 4LA, United Kingdom"
Embankment,51.5072143,-0.1222409,"Embankment, Hungerford Bridge, Victoria, City of Westminster, Greater London, England, WC2N 6PA, United Kingdom"
Emerson Park,51.5686007,0.2202375,"Emerson Park, Butts Green Road, Hornchurch, London Borough of Havering, Greater London, England, RM11 2JR, United Kingdom"
Enfield Town,51.6517212,-0.0786732,"Enfield Town, Dunstan Mews, Southbury, London Borough of Enfield, Greater London, England, EN1 1FY, United Kingdom"
Epping,51.5237688,-0.260488,"Central Line: West Ruislip → Epping, Chase Road, Park Royal, London Borough of Ealing, Greater London, England, W3 6HU, United Kingdom"
Euston,51.5282865,-0.1338745,"Euston, Eversholt Street, St Pancras, London Borough of Camden, Greater London, England, NW1 2DU, United Kingdom"
Euston NR,51.5247142,-0.1388282,"Euston Road, Fitzrovia, London Borough of Camden, Greater London, England, W1T 5PE, United Kingdom"
Euston Square,51.5256866,-0.1355703,"Euston Square, Euston Underpass, Fitzrovia, London Borough of Camden, Greater London, England, NW1 2BU, United Kingdom"
Fairlop,51.5959477,0.0911302,"Fairlop, Forest Road, Barkingside, London Borough of Redbridge, Greater London, England, IG6 3HE, United Kingdom"
Farringdon,51.519964,-0.104555,"Farringdon, Cowcross Street, Farringdon, Clerkenwell, London Borough of Islington, Greater London, England, EC1M 6BY, United Kingdom"
Finchley Central,51.6020872,-0.1938872,"Finchley Central, Nether Street, Church End, London Borough of Barnet, Greater London, England, N3 1QH, United Kingdom"
Finchley Road,51.5472307,-0.1806964,"Finchley Road, Canfield Place, South Hampstead, London Borough of Camden, Greater London, England, NW6 3BT, United Kingdom"
Finchley Road & Frognal,51.5501046,-0.1835754,"Finchley Road & Frognal, Billy Fury Way, West Hampstead, London Borough of Camden, Greater London, England, NW3 6ER, United Kingdom"
Finsbury Park,51.5648345,-0.1064144,"Finsbury Park, Spiral 4 Southbound, Finsbury Park, London Borough of Islington, Greater London, England, N4 3FT, United Kingdom"
Forest Gate,51.5495236,0.0249248,"Forest Gate, London Borough of Newham, Greater London, England, E7 0NF, United Kingdom"
Forest Hill,51.439108,-0.0539538,"Forest Hill, London Borough of Lewisham, Greater London, England, SE23 3HE, United Kingdom"
Fulham Broadway,51.4808834,-0.1943493,"Fulham Broadway, 470, Fulham Road, Walham Green, Fulham, London Borough of Hammersmith and Fulham, Greater London, England, SW6 1AF, United Kingdom"
Gallions Reach,51.5089622,0.0717937,"Gallions Reach, Atlantis Avenue, Gallions Reach, London Borough of Newham, Greater London, England, E16 2AJ, United Kingdom"
Gants Hill,51.576525,0.0648799,"Gants Hill, Eastern Avenue, Gants Hill, London Borough of Redbridge, Greater London, England, IG2 6FD, United Kingdom"
Gidea Park,51.5811818,0.2059524,"Gidea Park, London Borough of Havering, Greater London, England, RM2 6BT, United Kingdom"
Gloucester Road,51.4945266,-0.1837696,"Gloucester Road, 27, Cromwell Road, South Kensington, Royal Borough of Kensington and Chelsea, Greater London, England, SW7 4ER, United Kingdom"
Golders Green,51.5718577,-0.1954797,"Golders Green, London Borough of Barnet, Greater London, England, NW11 8LH, United Kingdom"
Goldhawk Road,51.5017564,-0.2265662,"Goldhawk Road, Shepherd's Bush, London Borough of Hammersmith and Fulham, Greater London, England, W12 8EG, United Kingdom"
Goodge Street,51.5205978,-0.1343573,"Goodge Street, Tottenham Court Road, Fitzrovia, London Borough of Camden, Greater London, England, W1T 2HF, United Kingdom"
Goodmayes,51.565803,0.1119305,"Goodmayes, Goodmayes Road, Goodmayes, Seven Kings, Ilford, Greater London, England, IG3 9UH, United Kingdom"
Gospel Oak,51.5554865,-0.151577,"Gospel Oak, Landing, Maitland Park, Gospel Oak, London Borough of Camden, Greater London, England, NW3 2JD, United Kingdom"
Grange Hill,51.613134,0.0925025,"Grange Hill, Manor Road, Chigwell, London Borough of Redbridge, Epping Forest, Essex, England, IG7 4FB, United Kingdom"
Great Portland Street,51.5238146,-0.1437048,"Great Portland Street, Euston Road, East Marylebone, Marylebone, City of Westminster, Greater London, England, W1W 5PP, United Kingdom"
Green Park,51.5066244,-0.1429437,"Green Park, Piccadilly, St. James's, Mayfair, City of Westminster, Greater London, England, W1J 8HY, United Kingdom"
Greenford,51.5421177,-0.3447996,"Greenford, Oldfield Lane North, London Borough of Ealing, Greater London, England, UB6 8PX, United Kingdom"
Greenwich,51.4820845,-0.0045417,"Greenwich, Greater London, England, SE10 9HF, United Kingdom"
Gunnersbury,51.4913757,-0.2755244,"Gunnersbury, Gunnersbury Mews, Strand-on-the-Green, London Borough of Hounslow, Greater London, England, W4 4BF, United Kingdom"
Hackney Central,51.5470605,-0.0568749,"Hackney Central, Amhurst Road, Hackney, London Borough of Hackney, Greater London, England, E8 1LL, United Kingdom"
Hackney Downs,51.5486455,-0.060686,"Hackney Downs, Dalston Lane, Lower Clapton, Shacklewell, London Borough of Hackney, Greater London, England, E8 1LA, United Kingdom"
Hackney Wick,51.5434383,-0.0241542,"Hackney Wick, White Post Lane, Bow, London Borough of Tower Hamlets, Greater London, England, E9 5XA, United Kingdom"
Haggerston,51.5386574,-0.0755835,"Haggerston, Lee Street, De Beauvoir Town, Haggerston, London Borough of Hackney, Greater London, England, E8 4DY, United Kingdom"
Hainault,51.6033138,0.0933827,"Hainault, Davids Way, Hainault, London Borough of Redbridge, Greater London, England, IG6 3BQ, United Kingdom"
Hammersmith C&H,,,
Hammersmith D&P,,,
Hampstead,51.55653,-0.1783011,"Hampstead, Greater London, England, NW3 1QG, United Kingdom"
Hampstead Heath,51.5552396,-0.1653912,"Hampstead Heath, St. Crispin's Close, South End Green, Belsize Park, London Borough of Camden, Greater London, England, NW3 2RB, United Kingdom"
Hanger Lane,51.5303098,-0.2936453,"Hanger Lane, Western Avenue, Park Royal, London Borough of Ealing, Greater London, England, W5 1DL, United Kingdom"
Hanwell,51.5089838,-0.3381584,"Hanwell, London Borough of Ealing, Greater London, England, W7 3SP, United Kingdom"
Harlesden,51.5363567,-0.257833,"Harlesden, Acton Lane, Harlesden, London Borough of Brent, Greater London, England, NW10 7AA, United Kingdom"
Harold Wood,51.5936326,0.2310497,"Harold Wood, London Borough of Havering, Greater London, England, RM3 0LP, United Kingdom"
Harringay Green Lanes,51.5772398,-0.097888,"Harringay Green Lanes, Portland Gardens, The Gardens, Harringay, London Borough of Haringey, Greater London, England, N4 1HT, United Kingdom"
Harrow & Wealdstone,51.5922178,-0.3348748,"Harrow & Wealdstone, Sandridge Close, Wealdstone, London Borough of Harrow, Greater London, England, HA1 1XZ, United Kingdom"
Harrow-on-the-Hill,51.5792702,-0.3366561,"Harrow-on-the-Hill, Station Approach, Greenhill, London Borough of Harrow, Greater London, England, HA1 1BB, United Kingdom"
Hatch End,51.6095781,-0.3687836,"Hatch End, Cherry Croft Gardens, Hatch End, London Borough of Harrow, Greater London, England, HA5 4JU, United Kingdom"
Hatton Cross,51.4664837,-0.4236954,"Hatton Cross, Great South West Road, Hatton Cross, London Borough of Hillingdon, Greater London, England, TW6 3RE, United Kingdom"
Hayes & Harlington,51.5029209,-0.417267,"Hayes & Harlington, Cranton Avenue, Hayes Village, Hayes, London Borough of Hillingdon, Greater London, England, UB3 4QF, United Kingdom"
Headstone Lane,51.6025533,-0.3569524,"Headstone Lane, Harrow Weald, London Borough of Harrow, Greater London, England, HA2 6NE, United Kingdom"
Heathrow T2&3 TfL Rail/HEx,,,
Heathrow T4 TfL Rail/HEx,,,
Heathrow T5 TfL Rail/HEx,,,
Heathrow Terminal 4,51.4588093,-0.4454717,"Heathrow Terminal 4, Seven Seas Road, London Borough of Hillingdon, Greater London, England, TW6 3YD, United Kingdom"
Heathrow Terminal 5,51.472515,-0.4877331,"Heathrow Terminal 5, Wallis Road, London Borough of Hillingdon, Greater London, England, TW6 2GA, United Kingdom"
Heathrow Terminals 2&3,51.4719282,-0.4543118,"Heathrow Terminals 2 & 3, Chester Road, London Borough of Hillingdon, Greater London, England, TW6 1RU, United Kingdom"
Hendon Central,51.5828243,-0.227022,"Hendon Central, London Borough of Barnet, Greater London, England, NW4 3AB, United Kingdom"
Heron Quays,51.5029301,-0.0215033,"Heron Quays, Heron Walk, Canary Wharf, London Borough of Tower Hamlets, Greater London, England, E14 5JP, United Kingdom"
High Barnet,51.65309,-0.2002261,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom"
High Street Kensington,51.5002995,-0.1921096,"High Street Kensington, Wrights Lane, Kensington, Royal Borough of Kensington and Chelsea, Greater London, England, W8 5SW, United Kingdom"
Highams Park,51.6080662,-0.0007533,"Highams Park, London Borough of Waltham Forest, Greater London, England, E4 9EF, United Kingdom"
Highbury & Islington,51.5463679,-0.1036544,"Highbury & Islington, Holloway Road, Canonbury, Highbury, London Borough of Islington, Greater London, England, N5 1RA, United Kingdom"
