LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01003946,725000.0,7.30045283946082,7.86773841396603,1641.0,0.4579319478004499,0.6012393686465962,0.1551629853433907,2325.722861470503,246.30119167582737,20,368.4240117798323,4818.572931619605,0.0105218714187119,53,6,370636.0617050075
E01003947,562884.4053695822,8.24598503886262,7.263381724178785,1517.0,0.1396811394269626,0.675,0.093,13.0,178.6650944065679,15,195.93118336786748,1264.6168182641056,0.0090537085712827,16,3,164279.52085819768
E01003948,462750.0,15.912757447552265,16.436234252892916,1540.0,0.2674419260024134,0.541,0.058,33.0,141.99079495981903,26,296.1646633738363,3130.9574246715138,0.0117070956358919,39,4,230122.14925991403
E01003949,452750.0,9.034533395876986,9.538549399842486,1498.0,0.2274644543758248,0.5934287710073378,0.2456320474085847,138.78727682836174,50.20454494004194,19,1035.5480379953042,2439.885037134805,0.0107364203866347,29,5,216073.97858275275
E01003950,408750.0,9.6188354652328,9.73592637280646,1558.0,0.2445864673367797,0.5454607474487557,0.1669801444045631,4331.0299477130675,37.0978623032806,18,1307.2301736946597,2252.441372636933,0.0092008802940775,33,7,254258.5403007283
E01003951,890000.0,4.466385414580288,4.030677805306722,1458.0,1.05887296169678,0.691,0.0632878160974268,23.0,433.9168783553624,3,464.9697227803106,4290.913356378646,0.0040524638937077,40,7,765074.1724969042
E01003952,1065000.0,15.202329854726647,14.981323272970524,1589.0,0.1320718869886762,0.6564898757817287,0.0267002574147413,94.9453017263753,59.84760378465942,20,484.5365404409305,2797.908015874776,0.0211847929215588,51,2,132060.90073847127
E01003953,801250.0,15.400331234235455,15.254416319977755,1778.0,0.202654476813796,0.643,0.118,132.0,56.45381633814537,20,313.9212463156656,3193.790557059678,0.0157598919525582,58,5,155246.79894992022
E01003954,725000.0,11.914542316296547,12.235773899950075,1444.0,0.1010260296612952,0.6675446423097466,0.118,77.23046192314567,140.27292869361827,19,764.3549011090935,2193.452902919188,0.0217114647386442,32,2,101020.91758681375
E01003955,705000.0,10.27776928986882,9.802874764895265,1589.0,0.1393371814698613,0.6392653757251542,0.118,108.72224500156818,51.80945593441372,19,1005.5945133241106,2044.2202192476227,0.0146738374894691,26,4,138173.6178535112
