LSOA_CODE,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01004071,51.8,10.180852801715988,1494.0,0.12567435781020717,0.5998420309609673,0.0785,51.905187204544355,143.86875560559432,13,428.54908502886974,2361.3779557079565,0.018789285739537673,34,3,110326.13037243654
E01004072,63.4,9.488848475560166,1641.0,0.28179221272310623,0.6077588436952861,0.0785,57.103064866200555,178.92155090708624,15,593.1392377192009,2675.9689245932013,0.009497539123475087,49,3,238130.85765388352
E01004073,67.3,12.520511329027173,1606.0,0.19940697129314236,0.6551873643080459,0.16664373209432992,1207.772646405577,147.11073590021184,20,237.92617000323392,2827.0510287114157,0.014158327585906134,40,3,181535.27344007787
E01004074,65.6,12.833876418363458,1425.0,0.3537994113869627,0.601,0.039,16.0,143.99996035074645,21,172.8853187856148,3532.5603346646876,0.009992151740361563,52,4,313548.8381047495
E01004075,71.7,6.838964453040175,1622.0,0.5889206054903862,0.642,0.028999999999999998,95.0,364.1007646365445,11,989.2478692520691,4358.492393085202,0.007400345560185534,59,6,590584.6015283477
E01004076,27.2,3.761360836169534,1517.0,3.4312162705151117,0.57,0.122,3631.0,399.37674465881076,2,857.3786111294868,7254.96940082312,0.0021144075426251805,64,10,3326979.6227003033
E01004077,21.6,6.502305287998397,1497.0,0.2640401071805179,0.496,0.304321107021503,16.0,108.11136717584324,9,864.5745629058663,3257.8047915352217,0.012337105395557131,42,4,236017.40602909678
E01004078,23.2,3.933867482228075,1513.0,0.32265751780054636,0.455,0.014,14.0,100.08087989423791,9,1249.2825643118106,2222.467634576196,0.0068868591260062865,38,8,294721.58389704407
E01004079,26.8,4.212402351980208,1388.0,0.3205255741267246,0.46548418878759584,0.12621706678554462,6.409567157539907,393.2946413269016,4,405.166982205602,3342.547672886468,0.010430622930794109,40,4,310645.1637389173
E01004080,25.1,6.611070531485259,1321.0,0.295426555456127,0.5569487828859151,0.2123770781784424,832.4693037554092,58.02632883153571,8,1103.0365590186418,2987.3504300755094,0.010112004053907081,34,3,230267.99434051546
